former_fiveyear_ratiochange,air_budget_permillion,enviro_budget_permillion,health_budget_permillion,school_budget_permillion,media_budget_permillion,sub_budget_permillion
-0.00185344,0,0,0,409.8360656,0,0
0.00026431,7.760600981,2.2825297,3.65204752,6.391083161,2.2825297,0.91301188
-0.00005378,0.547962185,1.001448132,0.434590699,1.454934078,0.17005723,0.359009708
-0.00001390,0.055420967,0.796046611,0.055420967,0.629783711,0.146109821,0.231760406
-0.00001582,1.864081326,1.864081326,0.873788121,0.932040663,0.932040663,0.582525414
-0.00010153,0.406055945,0.027252077,0.228917445,0.583194444,0.171688084,0.084481438
-0.00004926,0.964856435,1.114575537,0.249531837,0.63214732,0.515699129,0.349344571
0.00000742,0.180533598,0.209385999,0.040393362,0.280280472,0.084908496,0.037095945
-0.00008438,0.724952878,1.087429317,0.133543951,1.163740146,0.476942683,0.228932488
-0.00010795,1.253036086,1.212615567,0.687148821,1.576400238,0.282943632,0.242523113
-0.00020866,0.627307592,0.813176508,0.580840363,1.533418557,0.580840363,0.302036989
-0.00011896,1.082578639,1.377827359,0.623302853,1.640270666,0.328054133,0.229637893
-0.00006878,0.369297191,0.249883728,0.090665778,0.314013181,0.095088498,0.117202103
0.00001683,29.60404589,22.20303441,14.80202294,49.34007648,4.934007648,2.467003824
-0.00003657,0.276604973,0.358796165,0.09957779,0.109061389,0.150156985,0.112222589
0.00011241,0.255777502,1.577294597,0.895221258,1.918331267,0.682073339,0.682073339
0.00015540,0.696405481,0.649978449,0.355940579,1.269005544,0.340464902,0.108329742
0.00008938,2.037049863,3.734591415,0.33950831,1.358033242,1.131694368,0.33950831
0.00033446,1.094698591,1.81407195,0.312771026,1.094698591,0.187662616,0.156385513
-0.00003149,0.291097872,0.273718895,0.152066053,0.360613782,0.028240838,0.043447444
0.00007476,0.743285275,0.914812646,0.686109485,1.42939476,0.257291057,0.543170009
-0.00002494,0.292075492,0.152278675,0.112336728,0.37695213,0.192220623,0.099854869
0.00000370,2.119392441,1.926720401,0.642240134,1.412928294,0.38534408,0.57801612
-0.00001874,1.643052916,1.300750225,0.616144843,1.916895068,0.684605381,0.616144843
0.00025034,0.712601285,0.203600367,0.458100826,2.494104497,1.323402386,0.407200734
-0.00000307,0.180080937,0.163709943,0.028497657,0.172198607,0.045474984,0.058814313
0.00004537,0.146364876,0.175321956,0.044225358,0.153209277,0.063705576,0.033169019
0.00009243,0.228455058,0.235146211,0.097499648,0.172058203,0.041102793,0.076470312
0.00022648,0.561052157,1.013513575,0.126689197,1.031612031,0.705839811,0.343870677
0.00013919,1.082538956,1.855781067,1.598033697,0.927890534,0.567044215,0.154648422
0.00014050,0.322707622,0.565687478,0.201217694,0.242979856,0.182234892,0.15565897
0.00004193,0.114516678,0.154934329,0.074711416,0.162895381,0.124314896,0.05450259
-0.00010544,0.708703549,2.086738227,0.433096613,0.866193226,0.748075968,0.275606936
0.00025217,0.983169687,1.103909824,0.327723229,0.741689413,0.327723229,0.137988728
-0.00003895,0.92230433,0.621143733,0.188225374,0.959949405,0.621143733,0.263515523
0.00003594,1.148821115,1.811602528,0.132556283,1.325562825,0.397668848,0.441854275
-0.00001273,0.1513483,0.17126255,0.1752454,0.354473651,0.20312535,0.09957125
0.00015888,1.432510833,0.775943368,0.567035538,0.835631319,0.537191563,0.328283733
0.00012211,0.321377661,0.229263045,0.077785676,0.274296857,0.159665335,0.12486648
-0.00009218,1.316724596,1.467207407,0.564310541,1.504828109,0.263344919,0.112862108
0.00014244,1.873328415,0.324229918,0.540383197,1.152817486,0.50435765,0.648459836
0.00015145,0.507362152,1.325688204,0.294597379,0.687393884,0.441896068,0.180031731
0.00022193,0.510998015,0.405677814,0.140426935,0.234044892,0.237945641,0.183335166
0.00001809,1.669660775,2.346550278,0.767141437,0.361007735,0.135377901,0.586637569
-0.00001847,0.162229685,2.068428481,0.527246476,1.70341169,0.243344527,0.162229685
0.00012695,0.988862931,1.236078664,0.927058998,2.348549462,0.370823599,0.309019666
0.00002695,0.527819148,0.178195353,0.196240452,0.076691671,0.160150254,0.191729178
0.00022020,2.312666096,1.67668292,0.289083262,1.098516396,0.751616481,0.751616481
0.00003415,0.300096781,0.328586982,0.066477135,0.188035325,0.113960803,0.068376482
0.00012844,0.883325907,0.387075398,0.049625051,0.784075805,0.198500204,0.367225377
-0.00004806,1.346769423,0.754190877,0.377095439,1.723864862,1.346769423,0.377095439
0.00019029,0.427648776,0.374192679,0.190437346,0.253916461,0.223847406,0.100230182
0.00005100,0.346251625,0.290998706,0.198910508,0.405188072,0.309416346,0.103138782
0.00014922,0.236033384,0.231046763,0.162896279,0.186167176,0.144612003,0.068150484
0.00014200,2.339734242,1.509505963,0.528327087,1.584981261,0.754752981,0.754752981
0.00019063,0.670907569,0.690076357,0.594232418,0.517557268,0.460050905,0.517557268
0.00006427,1.03751869,0.671335623,0.732366134,1.251125479,0.823911901,0.427213578
0.00007781,0.44109397,0.348518692,0.294062646,0.44109397,0.157922532,0.168813741
0.00006751,1.389335548,2.413056478,0.731229236,1.243089701,0.950598007,0.658106312
0.00012353,4.323723488,1.636003482,0.818001741,1.986575657,0.818001741,0.818001741
0.00003287,0.306296898,1.016905702,0.318548774,0.465571285,0.588090045,0.134770635
0.00010115,0.365248804,0.083827594,0.200587458,0.416144129,0.077839909,0.230525884
0.00006271,0.157218868,0.298394995,0.064170967,0.445988218,0.368983058,0.137967578
0.00016339,1.965795164,2.204073366,0.774404156,0.655265055,0.714834605,0.238278202
0.00014062,1.100783136,2.256605428,0.715509038,1.045743979,0.550391568,0.330234941
0.00003856,0.852000484,1.284762634,0.189333441,0.459809785,0.202857258,0.270476344
0.00007862,1.321951857,0.55521978,0.423024594,1.744976451,0.317268446,0.396585557
0.00013825,1.317460262,1.433706756,0.658730131,1.317460262,0.30999065,0.426237144
0.00012330,0.446978629,0.370353721,0.114937362,0.491676492,0.319270449,0.236260132
0.00002465,0.246897498,0.808983291,0.320441433,0.162847286,0.220631807,0.073543936
0.00014210,0.565050229,0.589440886,0.040651096,0.081302191,0.256101902,0.138213725
-0.00002456,1.434261706,0.904208467,0.561232841,1.060106478,0.436514432,0.249436818
0.00009813,1.577746739,1.465050543,0.732525272,2.028531521,0.788873369,0.225392391
0.00009130,0.631129536,1.064257649,0.433128113,0.519753736,0.23512669,0.210376512
0.00005656,0.172387178,0.42643144,0.033267701,0.329652674,0.326628337,0.190533197
0.00009742,0.425316306,0.924600665,0.425316306,1.164996838,0.480792346,0.277380199
0.00003835,0.256911954,0.652556363,0.156716292,0.007707359,0.274895791,0.087350064
0.00010752,0.440027426,0.614832842,0.2230276,0.470166291,0.379749697,0.10247214
0.00004975,1.63983711,0.971755324,0.141714318,0.485877662,0.263183734,0.323918441
0.00000266,0.771361656,2.265874864,0.819571759,1.687353622,0.241050517,0.482101035
0.00008555,0.227020572,0.421609634,0.324315103,1.816164578,0.437825389,0.340530858
0.00022089,1.20834015,1.23932323,0.495729292,1.177357069,0.557695454,0.278847727
0.00001288,0.879035576,0.72125996,0.022539374,1.62283491,0.586023718,0.428248101
0.00002999,1.114596759,0.253317445,0.481303146,1.317250715,0.861279314,0.531966635
0.00021058,0.74325902,0.344193774,0.274357356,0.533749766,0.139672836,0.154637783
0.00030662,0.87725726,0.941761471,0.06450421,0.81275305,0.412826946,0.245115999
0.00024982,0.625305547,0.824266403,0.369498732,1.136919176,0.937958321,0.369498732
0.00019223,0.813624683,1.02854441,0.214919727,0.598704955,0.122811273,0.291676773
0.00026292,1.310362376,1.554150725,0.457103154,0.67041796,0.365682524,0.213314805
0.00007640,0.17755864,0.288039571,0.040443912,0.160789213,0.032552417,0.089765757
0.00031015,1.143980641,1.143980641,1.220246017,2.059165153,1.143980641,1.677838273
0.00011622,0.468237932,0.281809866,0.099717337,0.563619733,0.247125575,0.121395019
-0.00006565,0.913185267,1.168877141,0.219164464,1.68026089,0.620965981,0.54791116
-0.00001870,0.737456057,0.842806922,0.193143253,0.842806922,0.491637371,0.421403461
0.00007393,0.769867801,0.769867801,0.24872652,0.4737648,0.30794712,0.27241476
0.00043549,0.221172391,1.222953219,0.195152109,0.663517172,0.611476609,0.20816225
0.00020954,0.522296496,0.526314161,0.080353307,0.333466224,0.108476965,0.156688949
0.00008111,1.117078726,0.948751795,0.367258759,0.459073449,0.214234276,0.260141621
0.00006912,0.220903313,1.220781468,0.209276823,0.651083449,0.174397353,0.313915235
0.00022270,0.28794773,0.416193358,0.053234034,0.394415798,0.152442916,0.026617017
0.00023301,0.418510965,0.640844915,0.078470806,0.514419728,0.209255482,0.095908763
0.00007614,0.818701649,0.691348059,0.582187839,1.309922639,0.29109392,0.14554696
0.00040772,0.816664276,0.996330417,0.293999139,1.012663703,0.14699957,0.14699957
0.00026067,0.993667671,1.090610858,0.121178984,0.630130718,0.702838109,0.339301156
0.00027185,0.129177042,0.924635666,0.346738375,0.469116625,0.231158917,0.142774625
0.00012020,1.172752274,1.612534376,0.439782103,1.172752274,1.075022918,0.390917425
0.00026648,0.597356807,1.024040241,0.312901185,0.682693494,0.554688464,0.227564498
0.00017265,1.049583414,1.377578231,0.174930569,0.874652845,0.481059065,0.19679689
0.00009459,0.640198575,0.684863592,0.297766779,0.967742032,0.431761829,0.253101762
0.00025482,0.964767799,0.657160674,0.41946426,0.573267822,0.195749988,0.111857136
0.00021790,0.070886578,0.301267955,0.143988361,0.13955795,0.155064389,0.109652675
0.00015744,0.589211375,0.572376764,0.202015328,0.479786405,0.437699878,0.23568455
0.00008692,0.929323841,0.648365471,0.3674071,1.275118759,0.691589835,0.410631465
0.00019447,0.959270257,1.186006863,0.191854051,0.436031935,0.540679599,0.191854051
0.00042099,0.920445366,1.786746886,0.703869985,1.732603041,1.137020746,0.21657538
0.00021648,0.339165491,0.508748237,0.433378128,1.036339001,0.942126365,0.527590764
0.00016111,0.605405667,0.756757084,0.267775584,0.605405667,0.617048084,0.17463625
0.00016943,3.303844164,2.359888689,0.849559928,0.37758219,1.227142118,0.37758219
0.00002158,0.848763284,0.724278002,0.294237938,0.554525346,0.350822157,0.169752657
0.00028522,0.901091985,0.739357526,0.277259072,1.270770748,0.60072799,0.369678763
0.00014238,0.983920194,0.190760038,0.220880044,0.753000148,0.552200109,0.120480024
0.00018516,1.471486275,0.551807353,0.286122331,1.3079878,0.306559641,0.143061166
0.00014316,0.638487245,0.217085663,0.293704133,0.944961123,0.383092347,0.332013367
0.00038564,1.664110921,0.462253034,0.55470364,1.386759101,0.431436165,0.431436165
0.00034800,0.986108484,1.294267386,0.123263561,0.842300997,0.205439268,0.225983194
0.00016317,0.278313721,1.037351144,0.733736175,1.087953638,0.860242412,0.328916216
0.00002576,0.16384549,1.201533594,0.345896035,1.201533594,0.364101089,0.364101089
0.00035905,0.903253825,0.707955701,0.317359452,0.854429294,1.269437809,0.366183983
0.00027785,0.56863161,1.532833036,0.445016043,0.939478313,0.519185383,0.445016043
0.00044763,0.653288994,0.948322733,0.463624447,1.13798728,0.653288994,0.358255255
0.00020647,0.842797582,0.909686279,0.22742157,0.762531146,0.374576703,0.21404383
0.00007783,0.510379149,1.0796482,0.588899018,0.86371856,0.117779804,0.372969378
0.00011581,1.328797704,1.923259835,0.279746885,1.049050819,0.804272294,0.209810164
0.00021431,0.545489026,0.313366036,0.324972186,0.905279661,0.243729139,0.336578335
0.00013528,1.338694405,0.598889602,0.669347203,0.739804803,0.951177604,0.317059201
0.00021987,0.3571891,1.919891415,0.535783651,0.803675476,0.379513419,0.468810694
0.00036186,0.613985662,0.296872188,0.249642522,0.404825711,0.445308283,0.080965142
0.00027913,0.168397683,1.313501924,0.269436292,1.077745169,1.246142851,0.639911194
0.00017969,1.419345682,1.878545755,0.542690996,1.127127453,0.793163763,0.083490922
0.00016643,1.062095408,0.66380963,0.365095297,1.427190705,0.66380963,0.464666741
0.00025870,0.950127834,0.795455861,0.088383985,1.369951761,0.375631934,0.640783888
0.00011369,0.915349961,1.779847147,0.533954144,1.118761064,0.533954144,0.457674981
0.00030398,0.625908709,1.017101651,0.312954354,0.704147297,0.339033884,0.260795295
0.00032076,0.989921363,1.608622215,0.659947575,1.19615498,0.494960682,0.412467235
0.00002350,0.831114357,0.870691231,0.712383735,1.62265184,0.712383735,0.751960609
0.00013696,0.842384611,1.612149858,0.464763923,0.232381962,0.217858089,0.406668433
0.00003710,1.398451163,1.704362355,0.568120785,0.917733576,1.223644768,0.262209593
0.00032089,0.327603816,0.819009539,0.225227623,0.644970012,0.604019535,0.348079054
0.00024502,0.401612723,0.953830217,0.351411132,1.070967261,0.53548363,0.384878859
0.00013733,1.674502153,2.131184558,0.507424895,1.01484979,0.9641073,0.304454937
0.00017374,1.159023512,1.236291746,1.004487044,1.622632917,1.390828214,0.618145873
0.00027901,0.788304527,1.313840879,0.583929279,1.255447951,0.642322207,0.350357568
